newid,ln_spending,ln_income,weights
03660104,8,11,10334
03660114,11,10,14235
03660134,10,11,10681
03660144,11,12,11927
03660184,12,12,3685
03660194,10,11,12332
03660224,11,11,11381
03660294,9,10,5246
03660304,10,11,14595
03660324,10,12,9345
03660334,11,11,3866
03660354,8,12,10681
03660374,9,12,12977
03660394,10,11,10350
03660404,11,11,8547
03660414,8,7,10733
03660474,12,12,11713
03660484,11,11,12232
03660504,7,9,22422
03660524,11,11,27802
03660534,9,11,11673
03660544,11,12,13347
03660554,10,12,13113
03660564,9,10,10020
03660604,11,11,11934
03660624,9,11,18309
03660644,9,11,12450
03660714,11,11,8590
03660734,9,11,7289
03660744,9,11,13726
03660754,8,9,12971
03660764,10,11,10959
03660774,8,9,26343
03660874,13,11,9319
03660914,11,12,6170
03660924,9,8,10698
03660954,11,12,15192
03660974,9,11,8728
03660984,11,12,10371
03661024,11,11,12276
03661034,10,11,9639
03661044,10,12,12156
03661074,12,12,12146
03661084,12,12,13535
03661114,8,10,11464
03661124,11,,9381
03661134,9,9,10827
03661144,11,11,14261
03661174,9,10,9056
03661184,9,11,12285
03661204,11,10,11049
03661214,9,11,9573
03661244,10,11,2666
03661264,9,11,24814
03661274,8,8,11504
03661284,11,11,10702
03661334,11,12,17947
03661344,10,12,11916
03661354,10,10,10150
03661364,10,5,7575
03661384,8,10,9381
03661394,8,10,10590
03661404,8,7,9294
03661424,12,12,16459
03661434,6,8,9621
03661444,8,8,10059
03661454,9,11,6736
03661504,9,11,11460
03661514,10,11,9603
03661554,11,10,8533
03661624,9,10,8198
03661634,8,10,9269
03661674,9,10,12524
03661714,10,10,7198
03661744,11,10,9465
03661764,11,12,10621
03661804,9,12,13660
03661814,11,11,11611
03661824,11,12,14844
03661834,8,8,9202
03661844,12,12,6967
03661874,11,12,1201
03661884,12,12,16816
03661914,9,10,12967
03661974,10,12,11654
03661984,12,11,15882
03662004,11,12,6460
03662074,11,12,15557
03662124,11,12,7474
03662164,9,11,12195
03662174,11,11,5927
03662194,10,11,14384
03662214,12,11,10113
03662234,11,12,5677
03662244,11,12,5225
03662254,10,10,13351
03662314,10,12,18661
03662324,10,11,7917
03662334,8,9,14116
03662344,11,11,8247
03662354,12,12,15630
03662364,11,11,13152
03662374,10,11,13312
03662384,11,11,14200
03662394,8,10,9404
03662414,10,11,9545
03662424,11,9,3975
03662434,11,,8726
03662444,9,10,8844
03662454,11,11,11391
03662464,11,12,11037
03662484,9,10,10173
03662494,11,10,8925
03662504,8,9,14974
03662514,10,10,11912
03662534,9,9,9561
03662554,10,11,12276
03662564,10,11,10061
03662614,9,10,7250
03662644,9,11,10424
03662674,11,12,14049
03662694,12,11,8599
03662724,9,11,9952
03662754,13,12,10261
03662764,10,11,7127
03662774,10,8,9581
03662804,11,10,6463
03662824,12,12,14303
03662834,8,10,9511
03662894,10,10,12456
03662944,13,13,12830
03662964,11,11,12220
03662974,9,10,12971
03662984,12,10,9272
03663044,9,11,12558
03663084,10,11,9767
03663104,9,9,10362
03663114,11,12,9594
03663184,7,9,10648
03663194,11,12,10977
03663204,9,5,9053
03663224,10,11,17636
03663244,8,11,6872
03663254,9,11,11161
03663284,12,7,16805
03663314,10,11,6668
03663334,12,11,17002
03663344,11,12,18124
03663364,10,11,12048
03663424,11,12,9400
03663444,9,9,9462
03663464,11,12,14898
03663494,11,,11369
03663504,9,11,7686
03663534,11,11,10936
03663544,11,11,15066
03663554,11,10,9883
03663594,11,11,11846
03663624,11,10,11188
03663654,11,10,16569
03663724,10,11,9175
03663754,11,12,8298
03663764,8,10,14922
03663794,11,11,21730
03663804,11,12,9917
03663814,8,10,14359
03663824,9,10,22579
03663834,7,10,28201
03663844,9,10,6126
03663954,11,12,15064
03663974,12,12,13500
03664024,9,12,10002
03664034,9,11,12293
03664054,11,12,9328
03664064,11,10,11820
03664134,10,11,11199
03664174,8,11,9868
03664194,12,10,5844
03664214,11,12,10019
03664234,9,11,7343
03664254,11,11,14109
03664264,9,10,10521
03664274,11,11,13451
03664294,10,11,1431
03664334,11,11,10000
03664354,8,9,11550
03664394,9,12,11721
03664404,9,10,9334
03664414,11,11,11296
03664424,11,12,13717
03664434,10,11,7385
03664454,10,10,7605
03664474,9,11,13999
03664484,11,11,11385
03664494,12,12,12284
03664574,11,12,9767
03664604,8,10,10821
03664634,9,,12139
03664644,11,8,11445
03664694,12,11,7527
03664724,8,10,14510
03664754,11,8,12253
03664774,10,10,10215
03664794,11,12,10621
03664804,11,11,8134
03664834,11,10,10611
03664864,9,11,5473
03664874,10,10,12088
03664884,10,11,7059
03664894,11,11,15100
03664904,10,11,17434
03664954,9,9,3845
03664974,10,10,16878
03665014,10,10,11561
03665044,7,7,8653
03665054,11,10,13179
03665074,11,12,10715
03665124,8,11,13320
03665134,9,12,13821
03665154,11,11,13342
03665184,8,10,11868
03665194,8,10,10980
03665264,13,12,13361
03665284,11,11,3352
03665294,9,11,3816
03665314,11,10,8094
03665324,12,11,9470
03665354,10,11,9639
03665394,9,11,11291
03665424,11,11,8524
03665434,10,10,8796
03665524,9,11,11844
03665534,9,10,9210
03665574,9,6,12284
03665604,9,10,11402
03665634,12,11,8357
03665654,11,10,8768
03665684,9,11,16836
03665724,9,11,9482
03665744,11,10,7219
03665834,11,10,12294
03665844,10,11,14354
03665854,11,11,4150
03665894,12,12,14265
03665914,10,12,11724
03665964,9,10,13650
03665974,11,12,11898
03665984,11,11,11712
03666034,9,11,13641
03666044,9,10,9087
03666054,9,11,21412
03666074,11,12,8410
03666114,8,10,12144
03666144,9,11,11664
03666184,7,8,8154
03666204,10,9,6977
03666214,8,9,14573
03666234,11,11,12767
03666314,9,12,6457
03666324,10,8,16807
03666334,11,12,15133
03666354,11,11,14268
03666364,9,10,7971
03666394,9,10,6132
03666414,11,9,10684
03666464,9,10,7964
03666484,10,10,18479
03666514,8,10,12177
03666524,12,11,11617
03666544,7,10,10966
03666554,12,13,10261
03666564,9,10,8682
03666614,11,10,9875
03666624,11,12,21437
03666644,11,10,6477
03666694,11,11,9023
03666704,11,11,11649
03666724,8,10,11086
03666734,9,9,11757
03666754,10,11,13678
03666774,11,11,4420
03666794,8,7,10745
03666814,9,11,18789
03666834,11,12,7950
03666844,10,9,5553
03666854,11,10,11184
03666864,11,12,11677
03666904,11,10,11482
03666914,9,11,9477
03666924,11,10,13103
03666944,9,10,9215
03666954,10,12,6054
03666974,8,10,8595
03666994,10,10,7119
03667004,9,10,8501
03667064,11,11,8385
03667074,12,13,9433
03667144,11,12,5787
03667164,11,11,13186
03667214,8,10,11377
03667234,11,11,9731
03667264,8,9,11890
03667294,10,11,14042
03667314,11,12,12273
03667324,11,10,12421
03667374,9,10,11040
03667424,11,6,11730
03667434,9,11,14904
03667444,10,11,12782
03667484,11,11,13957
03667504,12,,14548
03667554,11,12,6791
03667564,10,11,22432
03667584,9,11,15653
03667614,11,11,11479
03667634,11,12,7573
03667654,9,11,16404
03667704,11,10,5788
03667714,11,10,9511
03667724,10,11,11944
03667744,9,10,5417
03667764,10,11,9784
03667784,12,12,15874
03667884,9,10,11109
03667894,9,11,13647
03667914,11,12,12838
03667934,12,11,11416
03667974,11,11,9917
03668004,11,11,10633
03668014,8,9,10036
03668034,9,11,13155
03668044,8,9,9182
03668054,12,11,9288
03668064,9,8,3673
03668074,8,11,16143
03668084,8,9,7484
03668114,9,11,8900
03668134,8,10,6898
03668144,9,11,9440
03668164,9,10,11482
03668234,9,10,9947
03668244,11,11,16245
03668254,10,12,12478
03668274,11,10,8770
03668294,12,12,14125
03668394,10,10,7497
03668434,11,12,15174
03668454,9,11,9930
03668474,9,11,12483
03668514,12,11,12088
03668524,9,11,6857
03668544,10,11,9980
03668584,9,11,9516
03668604,10,11,9695
03668624,8,11,9123
03668634,9,11,13092
03668644,9,11,13750
03668674,10,11,10164
03668724,8,9,9800
03668794,11,12,7788
03668814,8,9,9565
03668834,10,11,9175
03668884,9,12,8390
03668914,9,12,3974
